,loss,mean_absolute_percentage_error
0,19310896.0,37.52304458618164
1,4903407.5,19.324159622192383
2,4899518.5,19.36387062072754
3,4901332.0,19.341737747192383
4,4167607.5,17.359649658203125
5,3234181.0,14.062545776367188
6,2031378.5,10.733196258544922
7,827761.8125,8.226554870605469
8,746495.1875,7.783133029937744
9,698459.25,7.4922027587890625
10,679619.4375,7.394155979156494
11,658312.875,7.251418590545654
12,629871.1875,7.073746681213379
13,591183.75,6.882613658905029
14,554128.375,6.669347286224365
15,525738.875,6.463818073272705
16,500491.28125,6.30033016204834
17,491674.8125,6.237306118011475
18,490698.625,6.235922813415527
19,479719.15625,6.138329029083252
20,471374.8125,6.095178604125977
21,471150.375,6.0923871994018555
22,464578.125,6.048573017120361
23,455838.0,5.981561183929443
24,450989.6875,5.933842182159424
25,448242.4375,5.930264949798584
26,447023.65625,5.916903495788574
27,437263.65625,5.8606977462768555
28,436457.5,5.839444637298584
29,429333.875,5.7962775230407715
30,426610.625,5.7788519859313965
31,418475.375,5.729588508605957
32,416980.3125,5.729421615600586
33,411730.96875,5.688169479370117
34,403778.0,5.632502555847168
35,404111.3125,5.646451473236084
36,401005.25,5.61655855178833
37,394342.25,5.569098949432373
38,390296.84375,5.5260162353515625
39,389276.25,5.5341691970825195
40,386457.6875,5.498717308044434
41,381157.6875,5.456260681152344
42,383578.125,5.477589130401611
43,378504.28125,5.4453840255737305
44,375067.15625,5.414729595184326
45,373160.15625,5.399484634399414
46,370764.6875,5.378538131713867
47,369456.21875,5.367466926574707
48,364405.03125,5.3372802734375
49,362387.65625,5.315655708312988
