,loss,mean_absolute_percentage_error
0,20143842.0,37.343929290771484
1,5925058.5,19.147302627563477
2,5918067.0,19.135900497436523
3,5911673.5,19.161035537719727
4,5911083.5,19.165607452392578
5,5911097.5,19.171661376953125
6,5912530.0,19.16775131225586
7,5910571.5,19.170305252075195
8,5910577.5,19.18147087097168
9,5911012.5,19.17369270324707
10,5907047.5,19.164274215698242
11,4833225.5,16.11945152282715
12,4232458.0,13.68118953704834
13,3827084.0,11.453301429748535
14,3685456.5,10.728257179260254
15,3631854.25,10.436469078063965
16,3670745.0,10.670406341552734
17,1548016.75,8.533158302307129
18,706859.25,7.516350269317627
19,688273.625,7.422659397125244
20,668055.125,7.3010382652282715
21,661004.25,7.262875556945801
22,659724.875,7.258737087249756
23,634033.0625,7.111782550811768
24,623665.1875,7.0281901359558105
25,622457.5625,7.013607978820801
26,594208.3125,6.8685221672058105
27,554564.0,6.633409023284912
28,530795.0625,6.478137016296387
29,517535.03125,6.407291889190674
30,513699.4375,6.376381874084473
31,504724.9375,6.327739715576172
32,491208.09375,6.221338272094727
33,496815.625,6.260401248931885
34,479275.9375,6.144423961639404
35,486011.46875,6.159491062164307
36,476107.5625,6.131101131439209
37,470206.5625,6.079171180725098
38,472279.6875,6.097340106964111
39,483150.53125,6.1707587242126465
40,463635.5,6.032403469085693
41,457906.90625,6.00004243850708
42,453154.59375,5.972962856292725
43,455110.375,5.9817070960998535
44,449818.03125,5.949243545532227
45,445731.0625,5.9161810874938965
46,455781.53125,5.992192268371582
47,437366.65625,5.864592552185059
48,439427.65625,5.881211757659912
49,433953.375,5.8497724533081055
